company_name,industry,funding_rounds,total_funding,job_postings_30d,employee_growth_pct,hiring_roles,industry_growth_rate,regional_employment_trend,funding_per_employee,days_since_last_funding,growth_momentum,is_hot_lead,last_funding_year,last_funding_month,last_funding_day,last_funding_day_of_week,last_funding_day_of_year,last_funding_week_of_year,last_funding_is_weekend
"Ferguson, Miles and Foley",SaaS,4.711718577646584,6667868.4,9.29293296860771,13.738655353488369,Engineering,13.8,1.1,4247.049936305732,192,53342947.2,0,2024,8,12,0,225,33,False
Austin-Douglas,SaaS,4.078479170439046,3579522.84,9.296145528549618,35.40410047353031,Operations,12.8,-3.1,811.6831836734693,416,32215705.56,0,2024,1,1,0,1,1,False
Harris and Sons,SaaS,1.1018450293921178,9712702.07,19.81498228914668,9.41977882297477,Marketing,19.2,3.3,10332.661776595744,1031,174828637.26,0,2022,4,26,1,116,17,False
Williams Inc,Tech,5.241424876462807,3496343.98,10.02842108381157,14.29968067023866,Sales,13.3,14.5,2444.9957902097904,1452,31467095.82,0,2021,3,1,0,60,9,False
Morris-Greene,Tech,3.1901766039168304,4845105.52,10.785926432028957,-7.361504405902892,Sales,14.9,0.7,-7454.008492307692,654,53296160.72,0,2023,5,8,0,128,19,False
Pittman Inc,Tech,4.386350123776489,7003623.22,8.085885017527758,28.56871453417121,Operations,28.6,5.4,2326.785122923588,511,56028985.76,0,2023,9,28,3,271,39,False
Andrews Inc,Retail,6.425695374993797,6724297.55,7.95112360205882,23.993494220205697,Sales,26.9,2.9,2898.4041163793104,127,53794380.4,0,2024,10,16,2,290,42,False
"Perkins, Reynolds and Peck",SaaS,1.8626870681445569,8253248.57,11.49632391290578,-6.838019704066658,Engineering,7.8,7.4,-15005.906490909092,1133,82532485.7,0,2022,1,14,4,14,2,False
Barron-Savage,SaaS,4.893983018293043,1615689.14,8.548989864391778,-5.945238467433826,Engineering,17.8,1.8,-3168.017921568627,1598,12925513.12,0,2020,10,6,1,280,41,False
"Davis, Mckee and Murphy",Tech,3.254613626857315,5462712.86,10.184271822204728,14.941609830193958,Operations,7.9,9.7,3330.9224756097565,1477,49164415.74,0,2021,2,4,3,35,5,False
"Perry, Doyle and Pena",Tech,4.412341824222597,1543532.2,9.118016986371774,40.605390785302326,Sales,14.1,-5.0,358.128120649652,1181,13891789.8,0,2021,11,27,5,331,47,True
"Steele, Hoffman and Roth",SaaS,3.326339042562248,7543739.87,7.275157331970849,25.25270647692425,Operations,29.3,5.4,3029.61440562249,25,60349918.96,0,2025,1,26,6,26,4,True
Wilson PLC,Retail,5.162977532973656,1654964.91,7.8197636965484545,-7.780386851246965,Operations,28.1,-2.4,-2669.298241935484,1748,13239719.28,0,2020,5,9,5,130,19,True
Williams Inc,Healthcare,1.0790631163541484,1786572.69,10.347805115528056,7.670323607137168,Sales,23.6,5.8,1768.8838514851484,664,23225444.97,0,2023,4,28,4,118,17,False
Hughes Group,Healthcare,3.164931852083776,4195514.33,4.183256141998807,-2.1673581380510094,Marketing,12.7,2.8,-34962.61941666666,1448,16782057.32,0,2021,3,5,4,64,9,False
Rodgers-Thompson,SaaS,2.530882718573994,3406550.18,13.413301167375453,41.253475757785424,Operations,16.0,4.6,805.331011820331,617,47691702.52,1,2023,6,14,2,165,24,False
"Baker, Mclean and Gutierrez",Healthcare,4.302808136705316,895666.63,4.131338921700153,36.24824225628736,Sales,9.8,6.0,235.7017447368421,803,4478333.15,0,2022,12,10,5,344,49,True
Rice-Elliott,SaaS,5.414325614613142,1911942.4,4.482206873071458,28.831186164162144,Sales,23.4,-2.0,631.0040924092409,953,7647769.6,0,2022,7,13,2,194,28,False
"Klein, Hodges and Martin",Tech,2.310163754911356,1503030.49,9.029664104956218,-4.804506543663918,Operations,27.8,-4.2,-3955.343394736842,1126,15030304.9,0,2022,1,21,4,21,3,False
Parker-Coleman,Healthcare,2.3512489599435025,2238316.41,7.205834001512647,25.834115528432847,Sales,11.4,13.9,810.9842065217392,1550,20144847.69,0,2020,11,23,0,328,48,False
Mills-Anderson,SaaS,1.0736425558249556,1599273.37,9.010081834272151,9.321358029694936,Engineering,17.9,12.3,1648.735432989691,1490,12794186.96,0,2021,1,22,4,22,3,False
Smith-Reese,Healthcare,4.151242435069766,12652509.51,9.88464381619768,-7.657441651326628,Marketing,25.0,4.8,-17332.204808219176,1396,126525095.1,0,2021,4,26,0,116,17,False
Rasmussen-Mcmillan,Retail,4.330713509962462,7246539.36,8.873753969884826,1.894168319951222,Operations,6.8,9.7,24155.1312,1368,65218854.24,0,2021,5,24,0,144,21,False
Gonzales LLC,SaaS,6.57272769274088,762451.03,9.821511252595144,5.040370486780076,Engineering,5.9,12.9,1137.9866119402986,495,6099608.24,0,2023,10,14,5,287,41,True
Martin-Berry,Fintech,4.649465232890591,1114328.67,6.722805325326688,51.340859637996,Marketing,8.7,10.3,226.95084928716904,1083,8914629.36,0,2022,3,5,5,64,9,True
Medina-Hall,Fintech,3.845398499368754,2279709.62,5.328528382283137,4.968159968630992,Marketing,24.5,6.8,3562.04628125,1789,11398548.1,0,2020,3,29,6,89,13,True
"Johnson, Chavez and Lopez",Tech,1.9330505166000849,2089971.4,5.973949268606027,12.032821917975577,Marketing,22.2,11.1,1514.4720289855072,880,10449857.0,0,2022,9,24,5,267,38,True
Cox-Hill,Retail,4.44750547061582,2481417.74,10.157820605994509,40.85461938772933,Operations,26.5,0.1,625.0422518891687,834,27295595.14,1,2022,11,9,2,313,45,False
Garcia and Sons,Fintech,3.434859396043824,2286375.7,17.913960549580448,42.26453215242309,Marketing,28.1,5.5,485.4300849256901,966,41154762.6,1,2022,6,30,3,181,26,False
"Huff, Davis and Cook",Retail,3.2320955303217263,350517.35,8.294848485919083,5.02324417778392,Operations,7.6,5.4,556.3767460317459,253,3154656.15,0,2024,6,12,2,164,24,False
Salazar-Parker,Retail,1.8284601835938716,1494337.6,17.082453171050105,-0.9549626127150987,Operations,20.6,-0.4,-49811.25333333333,316,22415064.0,0,2024,4,10,2,101,15,False
Manning-Wang,Fintech,1.0443611185442288,5614221.38,10.42064378430744,32.51713400941084,Sales,14.9,-1.4,1701.279206060606,421,61756435.18,0,2023,12,27,2,361,52,False
Henderson-James,Fintech,2.8328527741420717,2267784.38,5.415814847039263,19.450725057987352,Sales,18.2,5.8,1040.2680642201835,1433,13606706.28,0,2021,3,20,5,79,11,True
"Franklin, Wilson and Moses",Retail,2.082303316561007,2413987.23,7.78663111343918,2.0922126965731063,Marketing,20.8,7.3,8621.382964285714,1303,19311897.84,0,2021,7,28,2,209,30,False
"Ward, Gregory and Sharp",Fintech,3.096138935774556,3702055.52,15.707066306692342,-0.0,Marketing,10.7,5.2,37020.5552,627,55530832.8,0,2023,6,4,6,155,22,True
Mendoza-Jenkins,Retail,4.104709265930146,1619942.3,9.525230765656536,33.46358575519823,Operations,9.8,7.2,477.85908554572273,1173,14579480.7,0,2021,12,5,6,339,48,True
Santos Inc,Tech,4.896316344947422,2921100.36,7.383490524483536,-2.7107217325070385,Operations,27.3,14.3,-16228.335333333333,590,29211003.6,0,2023,7,11,1,192,28,False
Moore PLC,Retail,1.9180496463482877,4541344.11,8.54752586977876,17.758859924451457,Operations,27.1,14.4,2468.121798913044,1775,36330752.88,0,2020,4,12,6,103,15,True
Reynolds Inc,Fintech,1.7330013599274208,1342408.52,6.406970717918895,30.305098207659977,Sales,29.2,9.6,377.08104494382025,752,8054451.12,0,2023,1,30,0,30,5,False
Cummings-Deleon,Healthcare,4.268023544122261,7953241.53,11.392336315343249,23.930229968987,Engineering,23.6,-4.1,3070.7496254826256,914,87485656.83,1,2022,8,21,6,233,33,True
Williams-Dorsey,Healthcare,2.950986139728074,2358580.31,12.502505264104236,23.21743196255412,Operations,6.2,12.0,986.8536861924688,685,28302963.72,1,2023,4,7,4,97,14,False
Gilbert-Scott,Healthcare,4.501907580986244,5519600.84,10.893929950822606,11.522702090440037,Operations,24.7,7.2,4312.18815625,1406,60715609.24,0,2021,4,16,4,106,15,False
Miller and Sons,Healthcare,3.832665244745507,2833284.24,15.33965488963,3.668900617975591,Operations,6.2,-4.7,6296.1872,989,42499263.6,0,2022,6,7,1,158,23,False
"Gonzales, Cook and Cordova",Retail,3.0624198971258325,117382.41,8.653082516055333,11.891813115369755,Marketing,7.1,12.2,90.99411627906976,149,939059.28,0,2024,9,24,1,268,39,False
Mckinney-Johnson,Retail,2.2125026686178284,301552.57,7.307216149800521,30.12866169041528,Sales,7.3,11.8,93.94161059190031,953,2412420.56,0,2022,7,13,2,194,28,False
"Garcia, Jones and Kennedy",SaaS,6.36651016436977,7367367.25,13.26328915379038,29.92187093011765,Operations,28.6,12.8,2205.7985778443112,25,103143141.5,1,2025,1,26,6,26,4,True
Dean and Sons,Fintech,2.994719451120289,6025994.23,13.003077315549753,50.30413058984451,Operations,9.5,9.0,1219.8368886639678,424,78337924.99000001,1,2023,12,24,6,358,51,True
Wright-Elliott,Tech,3.3823276997377167,728199.13,19.20010009935809,26.45865384354082,Engineering,19.1,-4.7,316.60831739130435,187,12379385.21,0,2024,8,17,5,230,33,True
Sutton-Mason,Fintech,1.070422725504182,8348061.55,6.388221604865223,25.483667592915683,Operations,21.4,12.8,3126.6148127340825,1735,58436430.85,0,2020,5,22,4,143,21,False
Hanson Group,Tech,3.320365889926685,11225893.39,9.45958890049689,10.393415090928851,Operations,15.5,3.6,8702.242937984496,1252,101033040.51,0,2021,9,17,4,260,37,False
"Webb, Grant and Perez",Tech,2.6793534182604035,3954447.99,14.888083314218484,8.003971721763657,Operations,13.8,13.4,4443.199988764045,335,51407823.870000005,0,2024,3,22,4,82,12,False
"Mcneil, Mcdowell and Rhodes",Healthcare,3.0143815955753483,1802644.71,7.576119858585956,19.84305885515697,Sales,23.8,-0.5,741.829098765432,509,16223802.39,0,2023,9,30,5,273,39,True
Washington-Duncan,Healthcare,4.272633012308485,6512415.65,13.113846665419802,7.157395925779108,Operations,25.6,4.1,7941.970304878049,954,84661403.45,0,2022,7,12,1,193,28,False
Harrison Ltd,Tech,1.6744171717731318,9351047.09,16.242945325415125,31.967788108921106,Sales,16.0,12.4,2634.097771830986,1372,158967800.53,1,2021,5,20,3,140,20,False
Stokes-Huber,Retail,4.0218670267253405,496087.48,6.033427214678076,41.36157157869447,Sales,18.6,1.0,120.7025498783455,566,2976524.88,0,2023,8,4,4,216,31,False
"Garcia, Gates and Robinson",Retail,4.878560043562234,1781914.72,9.702023066521388,14.512542029450298,Engineering,27.5,7.3,1246.0942097902098,920,17819147.2,0,2022,8,15,0,227,33,False
Gray-Bright,Healthcare,1.926016156768219,1755964.08,13.01420673817827,-4.243489214422564,Engineering,25.6,0.3,-4877.678000000001,925,21071568.96,0,2022,8,10,2,222,32,False
Turner-Perry,SaaS,2.052022961848529,290685.94,9.725720028969617,43.145821328792046,Sales,16.4,-1.3,61.19704,1144,2906859.4,0,2022,1,3,0,3,1,False
"Farrell, Smith and Campbell",Tech,4.64828219471273,3036820.36,11.405953643246932,40.845122351339086,Sales,17.3,3.2,644.760161358811,992,30368203.6,0,2022,6,4,5,155,22,True
Harding-Hall,SaaS,2.101686560588314,5808922.94,7.85194315463964,-1.2157311262584396,Operations,19.8,12.8,-116178.4588,923,52280306.46,0,2022,8,12,4,224,32,False
Lawrence-Medina,Fintech,2.22993685126798,4250373.52,8.81678144270031,-0.8758388589093595,Sales,8.8,-1.4,212518.676,261,38253361.67999999,0,2024,6,4,1,156,23,False
Ward-Ibarra,Tech,3.466289661021796,1858401.51,6.40331979740963,12.54788488936998,Marketing,14.3,8.6,1463.3082755905511,35,13008810.57,0,2025,1,16,3,16,3,False
George Inc,Retail,1.885920173230773,5859154.09,7.421814811227401,-5.022753048408293,Operations,5.1,12.4,-10653.007436363636,1302,52732386.81,0,2021,7,29,3,210,30,False
Bradley-Byrd,Fintech,2.718788661012449,4550138.06,13.851648174963112,13.257696646088402,Sales,13.6,-2.3,3250.098614285714,430,63701932.84,0,2023,12,18,0,352,51,False
"Garrett, Melton and Martinez",Fintech,1.0466095569957028,3742490.71,14.037105792958386,23.120923330002164,Operations,16.2,4.9,1268.6409186440678,708,52394869.94,0,2023,3,15,2,74,11,False
Sherman LLC,Healthcare,3.8590876462135073,4439450.73,6.875044423933469,37.68341701388345,Operations,12.8,9.3,1090.774135135135,1758,39955056.57000001,0,2020,4,29,2,120,18,False
"Bailey, Hunt and Carlson",Tech,3.473027449129163,4820102.24,10.63187327321768,7.488838929650762,Operations,21.6,4.6,4820.10224,743,62661329.120000005,0,2023,2,8,2,39,6,False
"Martinez, Lopez and Hale",Retail,5.573936385878408,1389226.23,11.580738848456456,11.70082778885322,Engineering,25.1,3.4,992.30445,750,13892262.3,0,2023,2,1,2,32,5,False
"Gonzalez, Wyatt and Vasquez",Fintech,5.035805020028613,1219354.42,4.754033737058074,19.91470725965546,Engineering,5.3,8.3,501.7919423868312,183,6096772.1,0,2024,8,21,2,234,34,False
"Nolan, Schmitt and Allison",SaaS,5.670299782338781,10385587.95,8.02541493666997,-3.83792935958622,Sales,22.0,15.0,-34618.6265,94,83084703.6,0,2024,11,18,0,323,47,False
Lamb-Thomas,Fintech,3.3679615223724166,1941580.94,8.53267679585833,49.608665010475086,Marketing,21.0,0.5,396.2410081632653,1018,17474228.46,0,2022,5,9,0,129,19,False
Kennedy Ltd,Fintech,2.290679301502629,2618179.61,10.399146083993667,40.51384376084044,Marketing,27.1,0.0,552.3585675105485,428,23563616.49,0,2023,12,20,2,354,51,False
Murphy-Douglas,Retail,4.073729568205099,523777.64,4.435463047581546,20.215221506622303,Engineering,27.5,8.3,223.8365982905983,1525,2095110.56,0,2020,12,18,4,353,51,False
Castillo Inc,Retail,0.8265239112204749,3520965.52,8.411640387674028,31.80073321931674,Sales,24.3,13.1,978.0459777777778,1632,28167724.16,0,2020,9,2,2,246,36,False
Chambers-West,Fintech,1.0521679180337928,5518172.13,10.74655254581401,14.355810385489823,Marketing,11.0,8.2,3031.962708791209,150,60699893.43,0,2024,9,23,0,267,39,False
Thomas Group,Fintech,0.948729915086782,1459381.68,11.45044106163205,17.858627874277676,Operations,14.2,10.0,848.4777209302325,1072,14593816.8,0,2022,3,16,2,75,11,False
Carrillo-Villa,SaaS,4.283515607681926,7316278.97,7.768183408252046,22.51125641502528,Sales,14.2,7.3,3280.8425874439463,855,65846510.73,0,2022,10,19,2,292,42,False
"Cummings, Contreras and Robbins",SaaS,1.0376260699143411,1290440.79,7.344669700891771,-10.899670217122653,Engineering,8.5,3.2,-1554.747939759036,1241,10323526.32,0,2021,9,28,1,271,39,False
Cannon Group,SaaS,1.933030579480431,3841878.53,11.099052345257231,31.7323862264821,Operations,10.5,4.2,1143.4162291666669,891,34576906.77,0,2022,9,13,1,256,37,False
"Vance, Marsh and Skinner",Tech,3.1422074480299345,296769.23,8.405241645491868,-4.649946769586699,Marketing,5.1,11.4,-645.1505,926,2374153.84,0,2022,8,9,1,221,32,False
Carpenter-Harding,Healthcare,3.494643384132325,1878397.24,14.451665110188678,12.633827448788914,Engineering,22.4,-4.8,1124.788766467066,583,24419164.12,1,2023,7,18,1,199,29,False
"Barnes, Elliott and Rodriguez",Retail,3.556243137884259,5483342.27,9.060517473360274,38.26154318009765,Sales,27.4,13.5,1446.7921556728231,604,49350080.42999999,0,2023,6,27,1,178,26,False
Noble PLC,SaaS,3.2933640923872245,6604638.57,11.158271197373264,9.934655705000974,Engineering,14.4,-1.2,5644.990230769231,128,72651024.27000001,0,2024,10,15,1,289,42,False
"Lane, Parker and Mcdonald",Tech,1.8921864775748196,3773988.57,13.543358080122426,24.70905973338643,Operations,13.2,9.5,1462.7862674418604,446,41513874.27,1,2023,12,2,5,336,48,True
Harrison-Ferguson,Healthcare,2.295286928253363,6545859.12,7.203142676768322,24.747953357247983,Engineering,10.7,5.7,2517.638123076923,105,52366872.96,0,2024,11,7,3,312,45,False
"Thompson, Fisher and Bowen",SaaS,2.107908230504764,1029974.96,3.8341596360246326,3.233102424265627,Sales,11.1,10.6,2452.3213333333333,50,4119899.84,0,2025,1,1,2,1,1,False
"Clark, Mcconnell and Olson",SaaS,3.1884082235859337,3279379.19,4.014822370752663,39.353150705618,Operations,14.8,-3.0,851.7868025974026,414,16396895.95,0,2024,1,3,2,3,1,False
"Rivera, Taylor and Garcia",Healthcare,1.5181017464880462,11998762.93,7.229586794376456,28.13333421181145,Operations,25.6,14.7,4095.140931740614,1757,83991340.50999999,0,2020,4,30,3,121,18,False
Hansen-Higgins,Retail,5.548396176946363,7314397.83,7.983718344498254,19.30892122769668,Sales,18.0,13.8,3603.1516403940886,55,58515182.64,0,2024,12,27,4,362,52,False
"Watts, Rodriguez and Phelps",Tech,2.3963801248025267,1625205.49,13.894089321884271,6.599174408851082,Engineering,13.3,11.6,2390.008073529412,1161,21127671.37,0,2021,12,17,4,351,50,False
Gross-Watson,Healthcare,2.1792486934444115,3664885.9,10.95759103536164,16.659449349230222,Engineering,5.5,11.2,1728.719764150943,1228,43978630.8,1,2021,10,11,0,284,41,False
Lewis LLC,SaaS,2.095622422287236,2658659.45,14.257475971163826,38.32971124873725,Marketing,5.6,4.8,712.7773324396784,1763,42538551.2,1,2020,4,24,4,115,17,False
"Edwards, Daniel and Gray",Retail,1.0552907737464057,7433421.42,12.182708440572386,-2.3601088282196008,Marketing,7.4,9.4,-74334.2142,1207,89201057.03999999,0,2021,11,1,0,305,44,False
Klein-Horton,SaaS,2.156429730078104,1694052.8,10.929337839288962,13.844381165834012,Engineering,20.9,4.2,1283.3733333333334,513,20328633.6,0,2023,9,26,1,269,39,False
Clark-Mckee,Tech,2.3153638030831885,2113132.18,8.430269031008516,3.0068359490870784,Engineering,7.5,4.2,4802.573136363637,1452,19018189.62,0,2021,3,1,0,60,9,False
Atkinson LLC,Healthcare,2.0214002519023078,2077028.49,13.781260776089823,21.919470472894726,Sales,13.4,3.1,952.765362385321,508,29078398.86,1,2023,10,1,6,274,39,True
Gardner-Lopez,Healthcare,1.9966475276924516,2716247.61,8.017334310795206,-5.767729379471883,Engineering,6.6,-3.2,-5779.250234042553,253,24446228.49,0,2024,6,12,2,164,24,False
Morris LLC,Healthcare,8.047075073613794,5486063.18,9.683786909539531,45.84505320996601,Marketing,21.5,1.9,1133.4841280991734,1297,54860631.8,0,2021,8,3,1,215,31,False
Benton Group,Healthcare,0.9554311632022212,8666343.3,17.435838213892538,27.30377867977195,Engineering,7.5,6.7,3719.460643776824,307,147327836.10000002,0,2024,4,19,4,110,16,False
Griffin-Morales,Fintech,1.0175451633726855,3091358.39,7.939762862145015,18.74418041675265,Operations,29.3,2.8,1717.4213277777778,1401,24730867.12,0,2021,4,21,2,111,16,False
Brown-Garrett,Retail,6.168016048290286,5218445.57,7.629274673008007,17.850802238347363,Operations,14.1,9.1,2931.710994382023,676,36529118.99,0,2023,4,16,6,106,15,True
"Willis, Coleman and Knox",SaaS,0.7439413631034782,2628214.79,9.732575788595328,-3.0181942363580614,Engineering,17.0,9.3,-13141.07395,1494,23653933.11,0,2021,1,18,0,18,3,False
Mueller-Pham,Tech,4.370071750288616,3396890.41,14.643441916116055,15.943958841195114,Engineering,10.4,0.1,1806.8566010638297,303,40762684.92,1,2024,4,23,1,114,17,False
Henry Group,Retail,2.3822073089039355,5933302.95,9.424349175662124,-0.7293533688397614,Sales,21.2,7.9,197776.765,1611,65266332.45,0,2020,9,23,2,267,39,False
"Sosa, Chavez and Cole",SaaS,5.618670092102994,3658675.49,6.291161904211633,46.51633035885476,Engineering,26.9,9.9,825.8861151241535,1053,21952052.94,0,2022,4,4,0,94,14,False
Hernandez-Johnson,Fintech,1.19585187610501,3241971.97,9.659473658932624,-10.020270243940953,Engineering,11.3,13.8,-4103.7619873417725,30,29177747.73,0,2025,1,21,1,21,4,False
"Carrillo, Curry and Phillips",Tech,0.933700244204442,1208112.49,5.867948947905093,-7.059835186419762,Sales,24.4,10.5,-1803.1529701492536,359,7248674.939999999,0,2024,2,27,1,58,9,False
"Weber, Weaver and Johnson",SaaS,6.367099852677756,7407437.96,9.30169579222046,13.94319590766019,Operations,23.4,-4.0,4688.251873417721,174,74074379.6,0,2024,8,30,4,243,35,False
Garcia-Johnson,Tech,2.1551956989729577,1130930.55,4.784496921849888,0.6778798877985817,Sales,8.9,14.5,6652.532647058823,1486,5654652.75,0,2021,1,26,1,26,4,False
Moon LLC,Tech,2.0721474459709013,3958578.98,15.17910046456532,13.222197458617032,Marketing,30.0,13.3,2868.535492753623,652,63337263.68,0,2023,5,10,2,130,19,False
"Bryant, Martinez and Patterson",Retail,2.6490219329260105,5508018.68,6.997536814067791,46.79356877732173,Sales,28.2,-2.4,1320.867788968825,1418,38556130.76,0,2021,4,4,6,94,13,True
"Lang, Stone and Wiggins",SaaS,2.976229471039092,5848884.29,10.845858385313065,27.34440787314271,Sales,17.3,5.6,2166.2534407407406,1690,58488842.9,0,2020,7,6,0,188,28,False
Roman Group,SaaS,1.872344010132853,766196.01,12.368798487288087,35.99295662907896,Engineering,10.8,7.9,186.8770756097561,1020,8428156.11,0,2022,5,7,5,127,18,True
Lambert-Washington,Fintech,4.220901227574568,2156096.27,11.82776416960755,15.72573583605208,Marketing,12.4,-3.2,1339.1902298136647,1319,23717058.97,1,2021,7,12,0,193,28,False
Bates-Jones,Healthcare,4.903824490779069,293234.64,7.516349964331075,-5.825238229895299,Sales,12.2,2.8,-623.9034893617022,1631,2345877.12,0,2020,9,3,3,247,36,False
"Kane, Ray and Sweeney",SaaS,0.9388803288857428,6280289.01,4.630736688639802,0.6114966203923867,Engineering,13.9,-4.3,36942.87652941176,974,37681734.06,0,2022,6,22,2,173,25,False
"Munoz, Chen and Robinson",Healthcare,1.9585557725115188,11818800.17,11.812109644890752,19.476132663709823,Sales,14.3,11.0,6253.333423280424,476,141825602.04,1,2023,11,2,3,306,44,False
Roberts PLC,Healthcare,4.282039104510243,6433202.69,6.7367963075153225,15.85584644455841,Marketing,19.3,11.4,4346.758574324324,391,45032418.830000006,0,2024,1,26,4,26,4,False
Smith Inc,Healthcare,4.895977493342604,10055087.94,8.5962178927407,36.63374992484165,Marketing,5.7,9.0,2660.076174603175,327,100550879.4,0,2024,3,30,5,90,13,True
Jones and Sons,Fintech,0.968530314421918,7925315.72,3.797639031947461,4.197759901072058,Engineering,18.9,-3.4,12782.76729032258,1383,31701262.88,0,2021,5,9,6,129,18,True
Edwards-Burns,Retail,0.9325786802021648,428989.66,6.001977014715226,-8.598849887893795,Operations,6.9,-2.1,-612.8423714285714,606,2573937.96,0,2023,6,25,6,176,25,True
Delgado PLC,Tech,2.8336747204382906,1528038.82,9.718213648658129,2.226391102844786,Marketing,26.5,1.5,4929.157483870968,1268,15280388.2,0,2021,9,1,2,244,35,False
"Cabrera, Bond and Perez",Retail,1.8821668459551688,4351619.31,11.300141556014886,18.458035632352924,Marketing,11.4,7.3,2458.541983050847,1749,47867812.41,1,2020,5,8,4,129,19,False
Williams-Krause,SaaS,1.9022566711099809,169323.44,4.218952680273403,20.417327515282317,Marketing,15.8,7.5,81.016,196,677293.76,0,2024,8,8,3,221,32,False
Watts Inc,SaaS,2.281283436336193,1197061.32,5.8663080337542,9.948080440992916,Engineering,7.3,6.4,1050.0537894736842,494,8379429.24,0,2023,10,15,6,288,41,True
"Pace, Anderson and Lopez",Fintech,3.3889477567583244,2370200.66,8.61868853530986,-1.875235048484453,Marketing,24.8,5.3,-21547.27872727273,1069,18961605.28,0,2022,3,19,5,78,11,True
"Brown, Walters and Martin",Healthcare,1.831285239817902,1188571.84,8.876548773243176,-7.4995903865623825,Marketing,18.8,13.9,-1697.9597714285717,219,9508574.72,0,2024,7,16,1,198,29,False
Rocha PLC,Fintech,3.5341959705148662,737429.9,15.758170954470646,14.576560282114944,Engineering,28.5,14.3,508.5723448275862,1084,11061448.5,0,2022,3,4,4,63,9,False
Mcmillan Ltd,Retail,2.634752209476451,1550233.21,18.31678583389501,27.402994464035427,Operations,7.3,3.4,503.3224707792208,1538,26353964.57,1,2020,12,5,5,340,49,True
Castillo Ltd,Retail,1.8625378500473235,8021643.14,8.888806618258918,4.785753696551833,Operations,29.5,8.9,13369.405233333331,311,80216431.39999999,0,2024,4,15,0,106,16,False
"Smith, Warner and Arnold",Retail,0.943602497228425,3725341.59,10.98597827637512,28.481633900495627,Operations,11.6,13.8,1271.4476416382252,352,40978757.49,0,2024,3,5,1,65,10,False
"Castillo, Logan and Walls",Tech,7.980690196740698,4768661.4,10.667388885576733,38.80195700327559,Sales,19.9,9.4,1116.782529274005,1273,57223936.8,1,2021,8,27,4,239,34,False
"Mitchell, Washington and Brown",Retail,1.0709520119832168,3245834.34,6.849230102393511,33.00411317110921,Operations,25.5,4.2,889.2696821917808,1303,25966674.72,0,2021,7,28,2,209,30,False
Boyd PLC,SaaS,2.168188523236356,2264874.1,9.479806000865691,4.469507031670317,Engineering,26.6,6.4,4117.952909090909,1752,18118992.8,0,2020,5,5,1,126,19,False
Church and Sons,Retail,4.150171319694741,1324782.62,10.234744681936638,33.52897581424843,Engineering,29.6,1.8,371.087568627451,1715,13247826.2,0,2020,6,11,3,163,24,False
"Fletcher, Moon and Brown",Fintech,0.91788125368971,452413.19,8.922109547192832,49.80921780304392,Engineering,7.0,8.5,104.483415704388,422,4524131.9,0,2023,12,26,1,360,52,False
Brown-Patel,Tech,3.133146131951846,844854.05,8.699694539783529,-5.542722074873483,Marketing,11.9,3.7,-2060.619634146342,1343,8448540.5,0,2021,6,18,4,169,24,False
Tate-Craig,Tech,2.548189785262302,4662140.66,8.084400840322997,15.688746260722649,Operations,15.7,11.8,3128.953463087249,70,37297125.28,0,2024,12,12,3,347,50,False
Graham PLC,Retail,2.741971133798704,4390701.79,9.674176278088634,-4.577278253518675,Engineering,14.8,-0.5,-10210.934395348835,1351,39516316.11,0,2021,6,10,3,161,23,False
"Carter, House and Miller",Tech,2.9828871201386047,2813970.45,7.679851581055906,8.377543973800908,Marketing,11.7,8.3,2931.21921875,136,22511763.6,0,2024,10,7,0,281,41,False
Lane-Perry,Tech,2.0157145305747344,8525738.78,7.138524250335942,-5.391619195736809,Marketing,14.3,2.3,-21860.86866666666,759,59680171.45999999,0,2023,1,23,0,23,4,False
Greene Inc,Fintech,2.3692820269152985,7295303.45,8.220166054916302,1.733385351478452,Engineering,7.2,6.0,27019.64240740741,672,72953034.5,0,2023,4,20,3,110,16,False
Taylor-Turner,Healthcare,3.0006639696758683,353981.24,9.236715417958267,20.35838835973986,Engineering,6.9,1.8,145.0742786885246,383,3539812.4,0,2024,2,3,5,34,5,True
Moore and Sons,Fintech,2.790162938255456,3828844.64,10.13494360479528,1.3493645661718947,Marketing,5.5,-0.1,15953.519333333334,907,42117291.04,0,2022,8,28,6,240,34,True
"Mcgee, Wang and Young",Fintech,3.9455795059360153,2100557.08,11.879715086571837,36.98292182817586,Engineering,24.8,13.4,551.3273175853019,1772,23106127.880000003,1,2020,4,15,2,106,16,False
"Galvan, Hooper and Wolfe",Healthcare,2.296467093264604,5070137.21,9.359117717642476,42.96748473587658,Operations,10.9,9.3,1277.1126473551635,1646,50701372.1,0,2020,8,19,2,232,34,False
"Rasmussen, Thomas and Gaines",Retail,2.194521143861709,10569525.77,10.727515565626785,18.23907668745253,Sales,17.8,4.1,5871.958761111111,1722,126834309.24,1,2020,6,4,3,156,23,False
Johnson-Villa,Tech,2.588841381952295,275441.35,13.226348534082748,14.604626818134443,Engineering,7.5,-1.0,175.44035031847133,962,4131620.25,0,2022,7,4,0,185,27,False
Sanford Group,Healthcare,2.7674830298515407,5424520.93,12.852480940092416,15.732952062796082,Engineering,7.4,-3.9,2825.2713177083333,325,70518772.09,1,2024,4,1,0,92,14,False
